input_id	dealiased_id	standard_id	short_id
https://railroads.dot.gov/sites/fra.dot.gov/files/2019-12/Superelevation-Guidance_pdfa.pdf	https://railroads.dot.gov/sites/fra.dot.gov/files/2019-12/Superelevation-Guidance_pdfa.pdf	url:https://railroads.dot.gov/sites/fra.dot.gov/files/2019-12/Superelevation-Guidance_pdfa.pdf	IRGRwTBU
https://www.kawasaki-track.com/pdf/Kawasaki%20LATGMS%20Brochure.pdf	https://www.kawasaki-track.com/pdf/Kawasaki%20LATGMS%20Brochure.pdf	url:https://www.kawasaki-track.com/pdf/Kawasaki%20LATGMS%20Brochure.pdf	19S6gMYY7
doi:10.7554/eLife.32822	doi:10.7554/eLife.32822	doi:10.7554/elife.32822	IhliSZDo
pmc:PMC6103790	pmc:PMC6103790	pmc:PMC6103790	mSMVRkoc
pubmed:30718888	pubmed:30718888	pubmed:30718888	126Wi5Us4
wikidata:Q56458321	wikidata:Q56458321	wikidata:Q56458321	QhC8yJ7V
isbn:9780262517638	isbn:9780262517638	isbn:9780262517638	zBPP9YKu
https://greenelab.github.io/meta-review/	https://greenelab.github.io/meta-review/	url:https://greenelab.github.io/meta-review/	1GGGHdsew
deep-review	doi:10.1098/rsif.2017.0387	doi:10.1098/rsif.2017.0387	PZMP42Ak
doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	YuJbg3zO
